first_word	ensemble_pred	ensemble_conf	n_encoders_voting	gt_modal	gt_total_emits	jsd_vs_gt	similarity	argmax_matches_gt_modal	total_emit_count	is_claude	ensemble_p_HP-D	ensemble_p_HP-S	ensemble_p_LP	ensemble_p_NP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	ensemble_p_HB	gt_p_HP-D	gt_p_HP-S	gt_p_LP	gt_p_NP	gt_p_HN-D	gt_p_HN-S	gt_p_LN	gt_p_NB	gt_p_HB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	opus_pred	opus_conf
(o°ω°o)	HN-S	0.2766	3		0				1	False	0.1384	0.1148	0.099	0.0765	0.0318	0.2766	0.0401	0.0896	0.1332										HN-S	0.73	HP-D	0.217	LP	0.235
(~^▽^)~	HP-S	0.3469	3		0				1	False	0.1022	0.3469	0.2716	0.0875	0.0002	0.0008	0.0121	0.1656	0.013										HP-S	0.633	LP	0.545	HP-S	0.378
( *▽)	HP-S	0.4917	3		0				1	False	0.049	0.4917	0.1046	0.1882	0.0059	0.0073	0.0132	0.1099	0.0303										HP-S	0.909	HP-S	0.369	LP	0.276
(¬_¬)	HB	0.4441	3	HB	138	0.1401	0.7979	True	138	True	0.0263	0.0056	0.0046	0.024	0.2483	0.0647	0.1028	0.0797	0.4441	0.1957	0.0	0.0	0.0	0.0652	0.0	0.0072	0.0435	0.6884	HB	0.977	HN-D	0.314	HN-D	0.409
(¬_¬;)	HB	0.4078	3	HB	30	0.265	0.6177	True	30	True	0.0114	0.0012	0.0007	0.0058	0.2256	0.1253	0.1795	0.0426	0.4078	0.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333	HB	0.947	LN	0.447	HN-D	0.333
(¬‿¬)	HP-D	0.5334	3	HP-D	155	0.0558	0.9195	True	155	True	0.5334	0.0402	0.0284	0.0875	0.0566	0.0366	0.0541	0.0784	0.0848	0.7097	0.0	0.0	0.0516	0.0065	0.0065	0.0194	0.1161	0.0903	HP-D	0.996	HB	0.176	HP-D	0.482
(¬､¬)	HP-D	0.323	3		0				2	True	0.323	0.0072	0.0105	0.0257	0.1769	0.0574	0.0637	0.1219	0.2137										HP-D	0.808	HB	0.222	HN-D	0.314
(¯_¯)	HB	0.2808	3		0				1	False	0.1619	0.0165	0.0092	0.0574	0.0991	0.0176	0.1681	0.1894	0.2808										HB	0.477	LN	0.226	NB	0.34
(¯`·._.·(¯)___)	HB	0.2963	3		0				1	False	0.0628	0.0481	0.157	0.1189	0.0123	0.0134	0.0672	0.2241	0.2963										HB	0.714	LP	0.248	NB	0.278
(¯`·._.·[=¯`·._.	HB	0.3431	3		0				1	False	0.0418	0.1352	0.1489	0.0838	0.0085	0.0086	0.0286	0.2015	0.3431										HB	0.919	HP-S	0.331	NB	0.25
(¯`・.¸)	NB	0.3999	3	NP	3	0.5463	0.2119	False	3	False	0.1661	0.0182	0.184	0.0661	0.0083	0.0174	0.0812	0.3999	0.0588	0.0	0.3333	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	HP-D	0.466	NB	0.587	LP	0.268
(¯`・.｡)	NB	0.4816	3		0				1	False	0.0887	0.0096	0.138	0.0401	0.0096	0.0197	0.1089	0.4816	0.1038										NB	0.543	NB	0.68	LN	0.306
(¯³¯)	HP-D	0.3053	3		0				1	True	0.3053	0.0674	0.105	0.0901	0.0671	0.0136	0.0811	0.152	0.1183										HP-D	0.775	NB	0.259	LP	0.219
(¯―¯٥)	HB	0.2801	3		0				1	True	0.135	0.0342	0.0294	0.0847	0.0424	0.0463	0.2091	0.139	0.2801										HB	0.549	NP	0.217	LN	0.438
(¯‿¯)	HP-D	0.3338	3		0				1	True	0.3338	0.0779	0.0766	0.1075	0.0403	0.0146	0.0864	0.2227	0.0402										HP-D	0.653	LN	0.24	HP-D	0.28
(¯□¯)	HB	0.4468	3		0				1	False	0.0775	0.039	0.0093	0.0657	0.041	0.1091	0.0705	0.1411	0.4468										HB	0.902	NB	0.239	HN-S	0.318
(¯▽¯)	HP-D	0.288	3		0				1	False	0.288	0.0842	0.098	0.139	0.0083	0.0043	0.0552	0.2721	0.051										HP-D	0.56	NB	0.293	LP	0.266
(¯︵¯)	HB	0.4135	3		0				1	False	0.0417	0.0055	0.0125	0.011	0.0741	0.0403	0.2705	0.1311	0.4135										HB	0.902	HB	0.302	LN	0.557
(¯︿¯)	HB	0.3754	3	LN	3	0.3632	0.476	False	3	False	0.0398	0.0069	0.0112	0.0078	0.1502	0.0281	0.2718	0.1089	0.3754	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	HB	0.922	LN	0.365	LN	0.449
(¯﹃¯)	HP-D	0.2759	3		0				1	True	0.2759	0.0721	0.0966	0.088	0.0506	0.0275	0.1069	0.1656	0.1169										HP-D	0.685	LN	0.291	LP	0.266
(¯﹏¯)	HB	0.3606	3		0				1	False	0.0448	0.0013	0.005	0.0145	0.1441	0.0469	0.3051	0.0776	0.3606										HB	0.865	HN-D	0.32	LN	0.63
(°_°)	HB	0.5419	3		0				0	False	0.0342	0.0042	0.0202	0.0176	0.0838	0.0999	0.0547	0.1435	0.5419										HB	0.999	HB	0.275	HB	0.352
(°_°;)	HB	0.495	3		0				2	False	0.0145	0.0039	0.0064	0.0051	0.144	0.2092	0.0803	0.0415	0.495										HB	0.985	HN-D	0.404	HB	0.393
(°д°)	HB	0.4599	3	HN-S	5	0.3721	0.4632	False	5	False	0.0351	0.0068	0.0481	0.014	0.0897	0.1717	0.0623	0.1124	0.4599	0.0	0.0	0.0	0.0	0.4	0.6	0.0	0.0	0.0	HB	0.912	NB	0.281	HN-S	0.424
(°д°;)	HB	0.42	3	HN-D	4	0.2788	0.5978	False	4	False	0.0139	0.0001	0.0095	0.0024	0.1451	0.2568	0.1225	0.0296	0.42	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	HB	0.887	LN	0.333	HN-S	0.621
(°□°)	HB	0.5027	3		0				0	False	0.0373	0.0149	0.0172	0.025	0.1069	0.2042	0.0318	0.0602	0.5027										HB	0.992	HB	0.224	HN-S	0.487
(°□°;)	HB	0.5025	3	HN-S	17	0.3916	0.435	False	17	True	0.0158	0.0062	0.002	0.0032	0.1695	0.2362	0.0428	0.0218	0.5025	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	HB	0.981	HN-D	0.476	HN-S	0.551
(°△°)	HB	0.453	3		0				0	False	0.0644	0.0244	0.0187	0.0319	0.1015	0.1709	0.034	0.1012	0.453										HB	0.798	HB	0.226	HN-S	0.366
(°▽°)	HP-D	0.2828	3	HP-S	6	0.314	0.5469	False	6	True	0.2828	0.2385	0.1116	0.1015	0.011	0.0121	0.0207	0.1518	0.07	0.0	0.6667	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	HP-D	0.538	NB	0.325	HP-S	0.335
(°◇°)	HB	0.4768	3	LP	6	0.3925	0.4338	False	6	False	0.0349	0.0135	0.0663	0.0259	0.0111	0.1687	0.0198	0.183	0.4768	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	HB	0.969	NB	0.455	HN-S	0.463
(°◇°;)	HB	0.4989	3		0				0	False	0.0299	0.0048	0.0309	0.0113	0.034	0.2144	0.0561	0.1198	0.4989										HB	0.962	NB	0.328	HN-S	0.564
(°〇°)	HB	0.5169	3	HP-S	8	0.6379	0.0797	False	8	True	0.0364	0.0231	0.0567	0.0248	0.0215	0.1431	0.0325	0.145	0.5169	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HB	0.948	NB	0.339	HB	0.443
(°ロ°)	HB	0.4847	3	HN-S	7	0.2347	0.6613	False	7	True	0.0362	0.0127	0.0417	0.0163	0.0304	0.1971	0.0394	0.1415	0.4847	0.1429	0.0	0.0	0.1429	0.0	0.5714	0.0	0.0	0.1429	HB	0.921	NB	0.333	HN-S	0.457
(°ヮ°)	HP-D	0.283	3		0				0	False	0.283	0.0753	0.1323	0.0763	0.021	0.0258	0.0352	0.182	0.1691										HP-D	0.587	NB	0.297	HP-S	0.21
(°ー°ll)	HB	0.5005	3		0				1	False	0.0296	0.0036	0.0551	0.0158	0.0269	0.1455	0.0642	0.1588	0.5005										HB	0.981	NB	0.338	HN-S	0.377
(°ー°|||)	HB	0.5145	3		0				1	False	0.0279	0.0028	0.0224	0.0142	0.0542	0.1811	0.0874	0.0956	0.5145										HB	0.986	HB	0.252	HN-S	0.417
(°ー°〃)	HB	0.4671	3	LN	4	0.284	0.5902	False	4	False	0.0712	0.0098	0.0525	0.0281	0.0291	0.1003	0.0713	0.1706	0.4671	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.0	0.25	HB	0.872	NB	0.285	HB	0.27
(°ㅂ°)	HB	0.474	3		0				0	False	0.0312	0.0108	0.1028	0.0211	0.036	0.0778	0.0305	0.2158	0.474										HB	0.93	NB	0.323	HB	0.353
(°ㅂ°;)	HB	0.493	3		0				0	False	0.0242	0.0042	0.0297	0.0076	0.1165	0.1934	0.0599	0.0714	0.493										HB	0.933	HN-D	0.296	HN-S	0.429
(°﹏°)	HB	0.3809	3		0				0	False	0.0125	0.0027	0.1104	0.015	0.0474	0.2437	0.1101	0.0772	0.3809										HB	0.749	LP	0.321	HN-S	0.383
(´	LN	0.3251	3		0				0	False	0.0314	0.0255	0.1686	0.1338	0.0384	0.0426	0.3251	0.143	0.0916										LN	0.56	LN	0.244	NB	0.229
(´-_-`)	LN	0.515	3	LN	4	0.2076	0.7005	True	4	True	0.0338	0.0153	0.0279	0.065	0.0525	0.0211	0.515	0.1744	0.095	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	LN	0.949	NB	0.263	LN	0.455
(´-`)	LN	0.4454	3	LN	53	0.2191	0.6839	True	53	True	0.0315	0.0308	0.0806	0.1118	0.0227	0.0254	0.4454	0.1575	0.0943	0.0189	0.0	0.0	0.0	0.0	0.0566	0.9245	0.0	0.0	LN	0.958	NP	0.232	NB	0.258
(´-ω-`)	LN	0.5186	3	LN	11	0.1147	0.8345	True	11	True	0.0373	0.0216	0.0463	0.0557	0.0209	0.0331	0.5186	0.1587	0.1076	0.0	0.0909	0.0	0.0	0.0	0.0909	0.6364	0.1818	0.0	LN	0.946	NB	0.253	LN	0.472
(´-﹏-`;)	LN	0.4556	3	LN	5	0.2408	0.6525	True	5	True	0.0317	0.0012	0.0098	0.0235	0.0626	0.1581	0.4556	0.0573	0.2003	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	LN	0.955	HB	0.3	HN-S	0.419
(´;_;`)	LN	0.8676	3		0				0	False	0.0009	0.0008	0.0062	0.0027	0.057	0.0614	0.8676	0.0004	0.003										LN	1.0	LN	0.732	LN	0.872
(´;ω;`)	LN	0.823	3	LN	51	0.0385	0.9444	True	51	True	0.0032	0.0039	0.0063	0.012	0.048	0.0832	0.823	0.0032	0.0171	0.0	0.0	0.0	0.0784	0.0196	0.1765	0.7255	0.0	0.0	LN	0.999	LN	0.636	LN	0.833
(´_ゝ`)	LN	0.3468	3		0				0	False	0.0984	0.0057	0.0182	0.0326	0.0935	0.0272	0.3468	0.2119	0.1658										LN	0.864	HB	0.338	NB	0.382
(´`;ω;´)	LN	0.7147	3		0				1	False	0.0087	0.0073	0.0133	0.0164	0.0765	0.1151	0.7147	0.0142	0.0337										LN	0.997	LN	0.616	LN	0.531
(´~`)	LN	0.5031	3		0				1	True	0.0172	0.0233	0.0372	0.093	0.0257	0.027	0.5031	0.1481	0.1254										LN	0.997	LN	0.282	HB	0.316
(´°̥̥̥̥̥̥	LN	0.6071	3	HN-D	3	0.129	0.8138	False	3	True	0.0218	0.0068	0.0152	0.018	0.1146	0.12	0.6071	0.0284	0.068	0.0	0.0	0.0	0.0	0.3333	0.3333	0.3333	0.0	0.0	LN	0.948	HN-D	0.31	LN	0.581
(´°ω°`)	HN-D	0.3087	3		0				0	False	0.0288	0.0541	0.0306	0.0968	0.3087	0.0693	0.0893	0.1089	0.2135										HN-D	0.68	NP	0.244	HB	0.256
(´·_·`)	LN	0.4753	3	HN-S	3	0.584	0.1575	False	3	True	0.0186	0.0125	0.0126	0.0341	0.2104	0.0558	0.4753	0.0897	0.091	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	LN	0.835	HN-D	0.476	LN	0.457
(´˘`)	LP	0.4352	3	LP	7	0.2528	0.6353	True	7	True	0.0253	0.0888	0.4352	0.2618	0.0074	0.0031	0.0611	0.0958	0.0216	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	LP	0.603	NP	0.275	LP	0.586
(´˘`∗)	LP	0.4815	3		0				0	False	0.0173	0.151	0.4815	0.227	0.0019	0.0006	0.0475	0.0632	0.0099										LP	0.783	HP-S	0.365	LP	0.559
(´ε`)	LP	0.308	3		0				1	True	0.0727	0.0514	0.308	0.1389	0.0215	0.0091	0.2006	0.1639	0.0339										LN	0.528	NB	0.408	LP	0.45
(´ε`;)	LP	0.2652	3		0				0	False	0.0399	0.0216	0.2652	0.0721	0.0342	0.0964	0.1937	0.1412	0.1357										LP	0.675	NB	0.346	HB	0.305
(´ω`	LP	0.3342	3		0				0	False	0.0731	0.0603	0.3342	0.1748	0.0114	0.0121	0.1394	0.1483	0.0465										LP	0.527	NP	0.271	LP	0.37
(´ω`)	LP	0.3263	3	LN	78	0.1316	0.8101	False	78	True	0.0344	0.0617	0.3263	0.1776	0.0072	0.0069	0.2047	0.1493	0.032	0.0897	0.0513	0.1538	0.0897	0.1154	0.1282	0.2179	0.0256	0.1282	LN	0.515	NB	0.286	LP	0.462
(´ω`♡)	LN	0.2839	3	LP	4	0.2107	0.6961	False	4	True	0.0389	0.0869	0.2749	0.1795	0.0041	0.0023	0.2839	0.1022	0.0273	0.0	0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	LN	0.824	NB	0.293	LP	0.569
(´д`)	LN	0.3379	3		0				2	True	0.0238	0.0072	0.0188	0.029	0.2485	0.1284	0.3379	0.0674	0.139										HN-D	0.477	LN	0.279	LN	0.35
(´д`;)	LN	0.3333	3		0				0	False	0.0323	0.0061	0.01	0.0237	0.1931	0.2084	0.3333	0.0411	0.152										LN	0.591	HN-D	0.258	HN-S	0.484
(´ུ`っ)	LN	0.4599	3		0				1	False	0.0167	0.0197	0.1677	0.0896	0.0863	0.077	0.4599	0.042	0.0411										LN	0.686	LN	0.56	LP	0.455
(´‿`)	LP	0.4732	3	NP	3	0.2068	0.7016	False	3	True	0.0787	0.0714	0.4732	0.1721	0.0039	0.0027	0.0235	0.1631	0.0115	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	LP	0.763	NB	0.356	LP	0.429
(´∀`)	LN	0.2005	3	LP	14	0.1805	0.7397	False	14	True	0.1684	0.1287	0.1812	0.167	0.0033	0.0031	0.2005	0.1084	0.0394	0.0714	0.0714	0.5714	0.2143	0.0	0.0	0.0	0.0	0.0714	LN	0.559	NB	0.28	LP	0.378
(´∀`;)	LN	0.3796	3		0				0	False	0.0837	0.05	0.0734	0.1218	0.019	0.0536	0.3796	0.1032	0.1156										LN	0.979	NP	0.232	HB	0.222
(´∇`)	NP	0.3912	3	HB	10	0.2281	0.671	False	10	False	0.0676	0.1365	0.256	0.3912	0.0027	0.0032	0.0269	0.0971	0.0187	0.0	0.2	0.0	0.2	0.0	0.0	0.1	0.2	0.3	NP	0.649	NP	0.29	LP	0.362
(´∡`✿)	LP	0.2028	3		0				1	True	0.0699	0.0809	0.2028	0.1411	0.1369	0.1077	0.0735	0.1027	0.0846										HN-D	0.392	NB	0.211	LP	0.407
(´∩ω∩`)	LN	0.3669	3		0				1	True	0.0381	0.0801	0.1995	0.1551	0.0066	0.0323	0.3669	0.0819	0.0395										LN	0.999	NP	0.296	LP	0.48
(´⊙ω⊙`)	HB	0.4105	3		0				0	False	0.0283	0.0329	0.0195	0.0654	0.1216	0.1518	0.0901	0.08	0.4105										HB	0.685	LN	0.238	HB	0.389
(´□`)	HN-D	0.4297	3		0				2	False	0.0207	0.0142	0.0122	0.0361	0.4297	0.1882	0.1238	0.0425	0.1325										HN-D	0.856	HN-D	0.341	HN-S	0.429
(´▽`)	NP	0.4791	3	LP	85	0.086	0.8759	False	85	True	0.0479	0.1545	0.1899	0.4791	0.0069	0.0056	0.0365	0.0633	0.0163	0.0353	0.0706	0.5294	0.2235	0.0	0.0118	0.0235	0.1059	0.0	NP	0.905	NP	0.312	LP	0.415
(´▽`;)	LN	0.3394	3		0				1	False	0.0446	0.0442	0.0627	0.1252	0.0544	0.0872	0.3394	0.0811	0.1611										LN	0.763	NP	0.206	HB	0.263
(´▽`ʃ♡ƪ)	LP	0.435	3	LP	9	0.0849	0.8776	True	9	False	0.0531	0.1244	0.435	0.2597	0.0094	0.0037	0.0178	0.0811	0.016	0.0	0.0	0.5556	0.3333	0.0	0.0	0.0	0.1111	0.0	LP	0.679	NP	0.236	LP	0.415
(´▽`っ)	NP	0.4022	3	NP	3	0.2503	0.6389	True	3	False	0.0653	0.0908	0.1877	0.4022	0.0324	0.0296	0.0746	0.0657	0.0517	0.3333	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	NP	0.723	NP	0.216	LP	0.439
(´▿`;)	LN	0.3185	3		0				1	False	0.0368	0.0495	0.1672	0.0936	0.1098	0.0616	0.3185	0.0617	0.1013										LN	0.678	HN-D	0.303	HB	0.205
(´◕ω◕`)	NP	0.2062	3		0				0	False	0.086	0.1072	0.1429	0.2062	0.0171	0.0136	0.1682	0.1821	0.0768										LN	0.446	NB	0.359	LP	0.312
(´◕‸◕`;)	LN	0.4076	3		0				1	False	0.035	0.0107	0.0239	0.0384	0.1436	0.1299	0.4076	0.0317	0.1793										LN	0.755	LN	0.265	HN-S	0.32
(´◕‿◕`)	NP	0.3646	3		0				0	False	0.072	0.1123	0.1843	0.3646	0.0086	0.0051	0.0255	0.1925	0.0351										NP	0.665	NB	0.28	LP	0.346
(´◕‿◕`;)	LN	0.3011	3		0				1	False	0.0601	0.0704	0.0814	0.1232	0.0627	0.0713	0.3011	0.0907	0.139										LN	0.69	LN	0.169	HB	0.239
(´ヘ`;)	LN	0.5085	3		0				0	False	0.0214	0.0095	0.0135	0.0438	0.0798	0.0942	0.5085	0.0797	0.1496										LN	0.976	LN	0.293	HB	0.314
(´・_・`)	HB	0.3001	3	LN	44	0.2051	0.7041	False	44	True	0.0182	0.0083	0.0134	0.0265	0.2437	0.0567	0.2373	0.0959	0.3001	0.0227	0.0	0.0	0.0227	0.0	0.2273	0.5455	0.1364	0.0455	HB	0.667	HN-D	0.443	LN	0.44
(´・̥̥̥ω・̥̥	LN	0.5436	3		0				1	True	0.0147	0.0095	0.0144	0.0195	0.2305	0.1185	0.5436	0.0217	0.0276										LN	0.58	LN	0.332	LN	0.719
(´・̥̥̥ω・̥̥�	LN	0.4565	3		0				1	False	0.0142	0.009	0.012	0.0209	0.2903	0.1385	0.4565	0.0321	0.0265										HN-D	0.574	LN	0.359	LN	0.597
(´・̥ω・̥`)	LN	0.6626	3	HN-S	5	0.1289	0.814	False	5	True	0.0219	0.0142	0.0239	0.0338	0.0732	0.11	0.6626	0.025	0.0354	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0	LN	0.916	LN	0.281	LN	0.792
(´・ω・)	NB	0.5261	3		0				0	False	0.0331	0.0155	0.1058	0.0938	0.0136	0.0195	0.0761	0.5261	0.1165										NB	0.897	NB	0.295	NB	0.386
(´・ω・`)	HB	0.3145	3	NB	121	0.0647	0.9067	False	121	True	0.0302	0.0169	0.0717	0.068	0.0341	0.0346	0.2637	0.1663	0.3145	0.0165	0.0	0.1736	0.1074	0.0083	0.0909	0.2231	0.2727	0.1074	HB	0.698	LN	0.212	LN	0.335
(´・‿・`)	HB	0.2595	3		0				2	False	0.0423	0.0412	0.1445	0.1172	0.1024	0.0329	0.0779	0.1821	0.2595										HB	0.659	HN-D	0.3	LP	0.395
(´・・)	LN	0.5053	3		0				1	False	0.0261	0.0159	0.061	0.0832	0.0318	0.0348	0.5053	0.1554	0.0865										LN	0.963	LN	0.25	LN	0.302
(´・・・)	LN	0.4354	3		0				1	False	0.0255	0.0262	0.0539	0.0835	0.0945	0.0377	0.4354	0.1429	0.1004										LN	0.743	LN	0.259	LN	0.305
(´・︵・`)	HN-D	0.4197	3		0				1	True	0.0169	0.0154	0.0254	0.05	0.4197	0.0564	0.3225	0.0433	0.0503										HN-D	0.859	HN-D	0.384	LN	0.702
(´・︿・`)	LN	0.3935	3		0				1	True	0.0129	0.0074	0.0157	0.021	0.3787	0.0671	0.3935	0.0355	0.0681										HN-D	0.592	HN-D	0.505	LN	0.654
(´ー`)	LN	0.3701	3		0				0	False	0.0268	0.0217	0.1465	0.1559	0.0103	0.0159	0.3701	0.1758	0.0769										LN	0.882	NB	0.285	LP	0.359
(´艸`)	HP-D	0.4638	3	LN	25	0.4197	0.3945	False	25	False	0.4638	0.0887	0.0996	0.1052	0.0268	0.0216	0.0628	0.0841	0.0474	0.0	0.0	0.08	0.0	0.28	0.2	0.36	0.0	0.08	HP-D	0.996	NB	0.231	HP-D	0.303
(´꒳`)	LP	0.3832	3		0				0	False	0.0359	0.0387	0.3832	0.1558	0.0057	0.0076	0.2168	0.1362	0.0201										LP	0.531	NB	0.283	LP	0.514
(´︶`)	LN	0.2412	3	HP-D	3	0.325	0.5311	False	3	True	0.0431	0.0852	0.2295	0.1793	0.0388	0.0081	0.2412	0.0943	0.0805	0.3333	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	LN	0.452	LN	0.271	LP	0.543
(´｡_｡`)	LN	0.5673	3		0				2	True	0.0293	0.0082	0.0458	0.087	0.0476	0.0514	0.5673	0.0989	0.0644										LN	0.785	NB	0.213	LN	0.719
(´｡・ω・｡`)	LP	0.356	3	LP	9	0.1139	0.8356	True	9	True	0.0328	0.0581	0.356	0.2665	0.0178	0.0363	0.0855	0.1042	0.043	0.0	0.0	0.3333	0.1111	0.0	0.0	0.3333	0.1111	0.1111	LP	0.489	NB	0.202	LP	0.426
(´｡・‿・｡`)	NP	0.3671	3	LP	51	0.1272	0.8165	False	51	True	0.0537	0.1234	0.229	0.3671	0.0383	0.0338	0.0658	0.0536	0.0354	0.0196	0.0	0.4314	0.2549	0.0	0.0	0.2157	0.0784	0.0	NP	0.727	LN	0.197	LP	0.475
(´｡・ﻌ・｡`)	NP	0.3428	3		0				1	False	0.0282	0.1303	0.2156	0.3428	0.0312	0.0304	0.0943	0.0943	0.0329										NP	0.61	LN	0.206	LP	0.446
(´ｰ`)	HN-D	0.2598	3		0				0	False	0.029	0.0163	0.1327	0.1437	0.2598	0.015	0.1246	0.206	0.0729										HN-D	0.733	NB	0.332	NB	0.28
(ò_ó)	HN-D	0.5531	3	HN-D	6	0.1585	0.7713	True	6	False	0.0448	0.0241	0.0239	0.0531	0.5531	0.0644	0.0578	0.0766	0.1021	0.0	0.0	0.0	0.0	0.8333	0.1667	0.0	0.0	0.0	HN-D	0.841	NB	0.187	HN-D	0.713
(ò皿ó)	HN-D	0.6391	3		0				1	False	0.033	0.0283	0.0323	0.0612	0.6391	0.0457	0.0475	0.0616	0.0514										HN-D	0.996	NB	0.185	HN-D	0.843
(˃˂)	LN	0.3096	3		0				1	False	0.0311	0.0118	0.0664	0.0614	0.1544	0.2083	0.3096	0.1023	0.0546										LN	0.661	NB	0.292	HN-S	0.414
(˃ˆ꒳ˆ˂)	HP-S	0.2989	3		0				1	False	0.1664	0.2989	0.172	0.1459	0.006	0.0094	0.0682	0.1023	0.031										HP-S	0.614	NB	0.283	LP	0.282
(˃ᇛ˂)	HP-S	0.3394	3		0				1	False	0.0315	0.3394	0.0534	0.0807	0.0841	0.1183	0.1243	0.1208	0.0475										HP-S	0.982	NB	0.35	HN-S	0.333
(˃᷄⁺˂	HN-D	0.3066	3		0				1	False	0.0746	0.0946	0.0552	0.0694	0.3066	0.1074	0.105	0.1267	0.0605										HN-D	0.705	NB	0.354	HN-S	0.282
(˃‿˂)	HP-S	0.4711	3	HP-D	6	0.2167	0.6874	False	6	False	0.1056	0.4711	0.1467	0.1188	0.0039	0.009	0.0337	0.0812	0.03	0.3333	0.1667	0.0	0.3333	0.0	0.0	0.0	0.0	0.1667	HP-S	0.977	NB	0.244	HP-S	0.383
(˃⌑˂)	HP-S	0.2985	3	LN	7	0.2494	0.6402	False	7	False	0.0526	0.2985	0.0459	0.0472	0.0832	0.2041	0.0722	0.1327	0.0635	0.0	0.2857	0.0	0.0	0.1429	0.0	0.4286	0.0	0.1429	HP-S	0.839	NB	0.384	HN-S	0.551
(˃⌑˂ഈ)	HP-S	0.357	3		0				2	False	0.0394	0.357	0.059	0.0357	0.0366	0.1785	0.0779	0.1319	0.0839										HP-S	0.995	NB	0.384	HN-S	0.5
(˃▿˂)	HP-S	0.468	3	NP	3	0.2486	0.6413	False	3	False	0.1005	0.468	0.1259	0.1248	0.0061	0.0157	0.032	0.0984	0.0286	0.0	0.3333	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	HP-S	0.976	NB	0.286	HP-S	0.394
(˃꒳˂)	HP-S	0.414	3		0				1	False	0.1601	0.414	0.1123	0.1129	0.0062	0.0094	0.0346	0.1103	0.0401										HP-S	0.856	NB	0.322	HP-S	0.36
(ˆᴥˆ)	NB	0.2801	3		0				1	False	0.158	0.0628	0.2201	0.1562	0.0071	0.0142	0.0765	0.2801	0.025										NB	0.511	LP	0.304	LP	0.344
(ˆ‿ˆ)	NB	0.3064	3		0				1	False	0.1586	0.0786	0.2142	0.1304	0.0043	0.0075	0.0717	0.3064	0.0284										NB	0.59	NB	0.289	LP	0.347
(ˆ‿ˆс)	LP	0.2343	3		0				1	False	0.2271	0.0665	0.2343	0.1236	0.0157	0.0156	0.0971	0.19	0.03										HP-D	0.373	LN	0.287	LP	0.314
(ˆ‿ˆԅ)	HP-D	0.3693	3	HP-S	6	0.569	0.1791	False	6	False	0.3693	0.0663	0.2035	0.1295	0.0116	0.0163	0.0889	0.0793	0.0353	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HP-D	0.725	LN	0.267	HP-D	0.304
(ˆ⌂ˆ)	NB	0.2754	3		0				1	False	0.0795	0.0604	0.1095	0.0961	0.1009	0.056	0.057	0.2754	0.1652										NB	0.392	NB	0.243	HB	0.262
(ˆ⌒ˆ)	LP	0.2415	3		0				1	False	0.1387	0.0732	0.2415	0.2251	0.0044	0.0072	0.0651	0.2222	0.0226										NB	0.354	NB	0.25	LP	0.325
(ˊᗜˋ)	NP	0.3928	3		0				0	False	0.0838	0.0871	0.1815	0.3928	0.0155	0.0227	0.0605	0.1215	0.0347										NP	0.788	LP	0.189	LP	0.348
(˘³˘)	LP	0.5209	3	LP	73	0.0499	0.928	True	73	True	0.0706	0.0568	0.5209	0.1119	0.0173	0.011	0.086	0.0921	0.0334	0.0959	0.0	0.3699	0.0822	0.0548	0.0411	0.1781	0.1507	0.0274	LP	0.995	NB	0.249	LP	0.492
(˘̩̩˘)	LN	0.65	3		0				1	False	0.0253	0.0055	0.0296	0.0223	0.0563	0.082	0.65	0.0693	0.0598										LN	0.896	LN	0.378	LN	0.676
(˘̩╭╭˘̩)	LN	0.7066	3		0				1	False	0.016	0.0016	0.0049	0.0093	0.0938	0.0748	0.7066	0.0379	0.0551										LN	0.995	LN	0.333	LN	0.792
(˘̩╭╮˘̩)	LN	0.6901	3	NP	25	0.237	0.658	False	25	True	0.0197	0.0019	0.0138	0.0137	0.0796	0.0721	0.6901	0.0505	0.0586	0.0	0.12	0.0	0.4	0.0	0.08	0.36	0.04	0.0	LN	0.943	LN	0.316	LN	0.812
